type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
6,1594867101,412,4.652,0.535,334.0,1.23,43.0
16,1594860963,1735,0.0,1.8000001,0.0,0.0,165.0
16,1594782282,1539,0.0,1.8000001,0.0,0.0,160.0
16,1594522511,1793,0.0,1.8000001,0.0,0.0,160.0
6,1594309241,2765,4.652,0.483,3138.0,0.881,260.0
6,1594215055,1856,4.652,0.484,1817.0,1.02,179.0
6,1593954780,5191,4.652,0.495,2356.0,2.202,220.0
6,1593879579,2512,3.101,0.435,2927.0,0.858,251.0
16,1593743337,1507,0.0,1.8000001,0.0,0.0,167.0
16,1593486000,1847,0.0,1.8000001,0.0,0.0,163.0
16,1593400355,1408,0.0,1.8000001,0.0,0.0,140.0
6,1592841560,7677,8.986,0.549,6519.0,1.177,842.0
16,1592735882,4235,0.0,1.8000001,0.0,0.0,429.0
16,1592275277,1431,0.0,1.8000001,0.0,0.0,150.0
16,1592192292,2033,0.0,1.8000001,0.0,0.0,231.0
16,1591844693,1152,0.0,1.8000001,0.0,0.0,99.0
16,1591712697,786,0.0,1.8000001,0.0,0.0,34.0
6,1591406257,1567,1.723,0.511,2180.0,0.718,201.0
16,1591324841,741,0.0,1.8000001,0.0,0.0,43.0
1,1591151383,1093,3.319,0.181,1606.0,0.68,147.0
6,1590295974,1115,8.384,0.484,1384.0,0.805,172.0
9,1590294230,1666,4.0,0.171,3233.0,0.515,244.0
9,1590279728,4498,3.125,0.11564704,13346.0,0.33694538,854.0
9,1590202371,3386,2.0120723,0.10182262,15046.0,0.22497094,543.0
9,1590191528,2628,2.3584907,0.11883541,8880.0,0.29582345,523.0
9,1590105952,3486,6.756757,0.09801039,11843.0,0.29425204,718.0
16,1590071737,1355,0.0,1.8000001,0.0,0.0,124.0
6,1590071499,135,5.714286,0.594884,160.0,0.8412027,14.0
16,1589985562,1372,0.0,1.8000001,0.0,0.0,95.0
16,1589901055,687,0.0,1.8000001,0.0,0.0,61.0
9,1589241816,3387,4.296,0.108,11569.0,0.292,580.0
9,1589206921,990,2.857,0.209,1207.0,0.82,110.0
16,1589077574,2159,0.0,1.8000001,0.0,0.0,163.0
16,1587529067,399,0.0,1.8000001,0.0,0.0,28.0
8,1587354519,529,4.601,0.35,357.0,1.478,30.0
16,1587353406,1094,0.0,1.8000001,0.0,0.0,116.0
16,1586312206,2131,0.0,1.8000001,0.0,0.0,129.0
16,1586141680,1435,0.0,1.8000001,0.0,0.0,144.0
16,1585625466,2412,0.0,1.8000001,0.0,0.0,64.0
8,1584027661,602,3.796,0.497,766.0,0.785,26.0
16,1584024032,3605,0.0,1.8000001,0.0,0.0,226.0
16,1583939879,432,0.0,1.8000001,0.0,0.0,18.0
16,1583939101,629,0.0,1.8000001,0.0,0.0,33.0
8,1583937723,1220,3.591,0.35,1602.0,0.761,154.0
16,1583937307,407,0.0,1.8000001,0.0,0.0,28.0
16,1583582242,3603,0.0,1.8000001,0.0,0.0,288.0
8,1583510777,1243,4.054,0.35,1367.0,0.909,95.0
16,1583509724,1041,0.0,1.8000001,0.0,0.0,63.0
8,1583423718,1851,6.585,0.467,790.0,2.341,46.0
16,1583420938,2771,0.0,1.8000001,0.0,0.0,167.0
9,1582730233,1760,5.989,0.135,5705.0,0.308,270.0
8,1582514083,1124,3.874,0.467,686.0,1.636,44.0
16,1582511777,2201,0.0,1.8000001,0.0,0.0,171.0
16,1582339362,2582,0.0,1.8000001,0.0,0.0,363.0
8,1582168075,238,1.5,0.569,303.0,0.784,33.0
16,1582165614,2451,0.0,1.8000001,0.0,0.0,194.0
8,1582083333,338,2.657,0.563,309.0,1.09,12.0
16,1582080830,2176,0.0,1.8000001,0.0,0.0,188.0
8,1581995873,877,3.694,0.439,1343.0,0.652,146.0
16,1581992285,3570,0.0,1.8000001,0.0,0.0,340.0
16,1581951104,2991,0.0,1.8000001,0.0,0.0,142.0
8,1581949552,1417,3.922,0.35,1665.0,0.851,171.0
16,1581949022,515,0.0,1.8000001,0.0,0.0,40.0
6,1581689527,909,5.196,0.129,1672.0,0.543,129.0
16,1581559784,4895,0.0,1.8000001,0.0,0.0,534.0
16,1581475955,3174,0.0,1.8000001,0.0,0.0,197.0
8,1581388183,1852,6.585,0.444,1614.0,1.147,154.0
16,1581300932,5225,0.0,1.8000001,0.0,0.0,311.0
16,1580869583,3429,0.0,1.8000001,0.0,0.0,230.0
16,1580783384,3892,0.0,1.8000001,0.0,0.0,302.0
16,1580696952,4618,0.0,1.8000001,0.0,0.0,372.0
1,1580609681,1565,2.326,0.363,2797.0,0.559,272.0
8,1580526318,2169,3.932,0.444,2486.0,0.872,293.0
16,1580438101,6928,0.0,1.8000001,0.0,0.0,510.0
16,1580351513,3809,0.0,1.8000001,0.0,0.0,391.0
9,1578364418,1439,1.38,0.127,4883.0,0.294,100.0
1,1578359018,2633,9.289,0.285,3188.0,0.825,335.0
9,1578357187,1544,6.963,0.134,5501.0,0.28,302.0
9,1578321008,729,4.359,0.169,1281.0,0.569,103.0
9,1578281003,1292,1.292,0.142,5837.0,0.221,140.0
1,1578187087,1128,1.861,0.473,1982.0,0.569,206.0
8,1574389843,1938,3.906,0.437,1102.0,1.757,138.0
16,1574218649,2790,0.0,1.8000001,0.0,0.0,273.0
16,1574043806,7684,0.0,1.8000001,0.0,0.0,242.0
8,1573958592,2102,4.948,0.35,1771.0,1.186,217.0
16,1573878096,2409,0.0,1.8000001,0.0,0.0,228.0
8,1573785536,1150,4.328,0.467,496.0,2.314,63.0
8,1573697304,1117,5.886,0.467,787.0,1.418,95.0
